Player_num,player,team,YAR,DVOA,VOA,QBR,pass,yards,Eyds,TD,FK,FL,INT,comp_perc,ALEX,year,completions,yds_per_comp,DYAR_per_comp,Eyds_per_comp,DYAR
484,P.Rivers,SD,124,-0.073,-0.077,43.5,576,3266,3122,26,7,7,14,0.65,2.7,2012,373,8.8,0.4,8.4,138
485,P.Rivers,SD,1038,0.170,0.150,64.9,610,4414,4723,27,3,5,20,0.63,3,2011,386,11.4,2.9,12.2,1117
486,P.Rivers,SD,1617,0.279,0.333,66.9,582,4456,4901,30,3,4,13,0.66,2.8,2010,386,11.5,3.7,12.7,1419
487,R.Bartel,ARI,-36,-0.321,-0.347,20.3,23,80,79,1,0,0,1,0.46,5.8,2011,10,7.6,-3.1,7.5,-32
488,R.Bartel,ARI,-86,-0.547,-0.477,29.2,30,138,50,0,0,0,1,0.57,10.5,2010,17,8.1,-6.0,2.9,-103
489,R.Finley,CIN,-321,-0.598,-0.649,23.5,98,388,86,2,1,3,2,0.47,1,2019,46,8.4,-6.3,1.9,-290
490,R.Fitzpatrick,TB,315,0.173,0.181,54.4,170,1059,1284,7,0,0,3,0.59,1,2017,101,10.5,3.0,12.7,307
491,R.Fitzpatrick,TB,459,0.168,0.160,61,260,2283,2005,17,2,1,12,0.67,1.9,2018,173,13.2,2.7,11.6,473
492,R.Fitzpatrick,MIA,313,0.013,-0.021,66.5,541,3314,3403,20,4,1,13,0.62,4,2019,337,9.8,1.3,10.1,432
493,R.Fitzpatrick,NYJ,-329,-0.226,-0.230,39.2,423,2601,1807,12,6,1,16,0.57,1.7,2016,240,10.8,-1.3,7.5,-319
494,R.Fitzpatrick,NYJ,670,0.035,0.070,62,583,3779,3714,31,2,2,15,0.60,3.1,2015,347,10.9,1.6,10.7,542
495,R.Fitzpatrick,HOU,485,0.067,0.114,61.8,334,2393,2249,17,3,1,8,0.63,-0.1,2014,211,11.3,1.8,10.6,383
496,R.Fitzpatrick,TEN,112,-0.036,-0.064,58.7,369,2359,2147,14,5,2,12,0.63,1.9,2013,231,10.2,0.8,9.3,179
497,R.Fitzpatrick,BUF,161,-0.076,-0.064,45.2,533,3235,2916,24,2,6,16,0.61,1,2012,324,10.0,0.4,9.0,120
498,R.Fitzpatrick,BUF,194,-0.063,-0.061,50.1,591,3702,3377,24,4,1,23,0.63,0.9,2011,369,10.0,0.5,9.1,185
499,R.Fitzpatrick,BUF,139,-0.036,-0.064,52.3,466,2851,2677,23,3,3,15,0.58,2.7,2010,271,10.5,0.8,9.9,224
500,R.Griffin,BAL,-6,-0.059,-0.136,52.8,43,206,232,1,0,0,2,0.61,1.4,2019,26,7.9,0.5,8.9,14
501,R.Griffin,CLE,-331,-0.360,-0.416,39.1,170,743,507,2,2,1,3,0.59,-2,2016,101,7.4,-2.7,5.0,-270
502,R.Griffin,WAS,-372,-0.342,-0.341,28.7,250,1452,803,4,4,2,6,0.69,-0.1,2014,173,8.4,-2.2,4.6,-374
503,R.Griffin,WAS,98,-0.131,-0.080,50.4,495,2912,2423,16,4,3,12,0.61,0.7,2013,301,9.7,-0.2,8.1,-60
504,R.Griffin,WAS,811,0.166,0.198,68,425,2961,3104,20,2,0,5,0.67,0,2012,283,10.5,2.6,11.0,727
505,R.Grossman,WAS,75,-0.079,-0.086,41.5,481,2920,2576,16,1,5,19,0.59,3.7,2011,281,10.4,0.3,9.2,98
506,R.Grossman,WAS,-96,-0.247,-0.212,33,141,788,594,7,0,4,4,0.57,0.7,2010,80,9.8,-1.6,7.4,-129
507,R.Lindley,IND,34,0.274,0.361,93.4,10,58,96,1,0,0,0,0.60,-5,2015,6,9.7,4.7,16.0,28
508,R.Lindley,ARI,-116,-0.165,-0.303,32.9,99,516,444,2,0,0,4,0.48,0.9,2014,48,10.8,-0.7,9.3,-32
509,R.Lindley,ARI,-601,-0.558,-0.668,10.2,184,646,215,0,1,2,7,0.52,-3.3,2012,96,6.8,-5.0,2.2,-482
510,R.Mallett,BAL,29,0.283,0.162,74.3,16,56,143,2,0,0,0,0.56,-2,2017,9,6.2,4.7,15.9,42
511,R.Mallett,2TM,-113,-0.123,-0.183,55.4,248,1282,1256,5,0,0,6,0.57,-0.1,2015,141,9.1,-0.1,8.9,-19
512,R.Mallett,HOU,37,0.145,-0.033,50.1,74,395,544,2,0,0,2,0.56,2,2014,42,9.5,2.9,13.1,120
513,R.Smith,TEN,-152,-0.988,-0.792,3.6,41,200,-85,0,0,0,4,0.50,-2,2010,21,9.8,-9.6,-4.1,-196
514,R.Tannehill,MIA,-251,-0.208,-0.241,33.2,309,1694,1302,17,1,4,9,0.65,0.9,2018,199,8.5,-0.9,6.5,-186
515,R.Tannehill,TEN,758,0.280,0.272,62.2,315,2529,2645,22,3,3,6,0.71,2.9,2019,224,11.3,3.5,11.8,773
516,R.Tannehill,MIA,92,-0.108,-0.077,48.6,419,2743,2155,19,6,2,12,0.68,1.2,2016,283,9.7,0.0,7.6,10
517,R.Tannehill,MIA,67,-0.106,-0.094,45.6,632,3817,3204,24,5,5,12,0.62,1.6,2015,393,9.7,0.1,8.2,20
518,R.Tannehill,MIA,566,0.041,0.026,60.5,637,3713,4178,27,4,1,12,0.67,1.2,2014,425,8.7,1.5,9.8,630
519,R.Tannehill,MIA,22,-0.098,-0.106,48.4,643,3508,3419,24,3,4,17,0.61,0.4,2013,391,9.0,0.1,8.7,54
